ct,r_cm,log10_value
2.5,1.59099694,-7.997120314
2.5,1.605135767,-7.997590389
2.5,1.619274594,-7.998215245
2.5,1.633423555,-7.998654746
2.5,1.647562382,-7.998842012
2.5,1.66170121,-7.998872586
2.5,1.675840037,-7.99912291
2.5,1.689988998,-7.999312087
2.5,1.704127825,-7.999375145
2.5,1.71827648,-7.999592985
2.5,1.732415614,-7.999656044
2.5,1.746554441,-7.999780251
2.5,1.760703403,-8.000000001
2.5,1.774389249,-8.000189178
3,0.007064423232,-4.878711361
3,0.02121338481,-4.880901222
3,0.03535213512,-4.877270562
3,0.04950117347,-4.879336216
3,0.06364000057,-4.888133881
3,0.07777882766,-4.890325653
3,0.09192778924,-4.895429598
3,0.1060664628,-4.907357274
3,0.1202054434,-4.913275251
3,0.134344117,-4.925453252
3,0.1484930785,-4.93108842
3,0.1626320592,-4.943579804
3,0.1767707327,-4.968063834
3,0.1909196943,-4.983465479
3,0.2050585214,-5.001374191
3,0.2191973485,-5.015119108
3,0.2333463101,-5.042920416
3,0.2474851372,-5.069561823
3,0.2616239643,-5.090539398
3,0.2757729258,-5.124226198
3,0.2899117529,-5.152371463
3,0.30405058,-5.181363245
3,0.3181995416,-5.213485038
3,0.3323382151,-5.246795396
3,0.3464771958,-5.28906202
3,0.3606261574,-5.323687059
3,0.3747648309,-5.362258052
3,0.3889038115,-5.406590332
3,0.4030526196,-5.449982461
3,0.4171914467,-5.493093691
3,0.4313304273,-5.543061138
3,0.4454792353,-5.58567172
3,0.4596180624,-5.630254324
3,0.4737568895,-5.676902582
3,0.4879058511,-5.721234861
3,0.5020445246,-5.769729024
3,0.5161835053,-5.811588633
3,0.5303323133,-5.859989163
3,0.5444711404,-5.901972978
3,0.558610121,-5.947182348
3,0.5727589291,-5.990511418
3,0.5868977562,-6.031681201
3,0.6010365832,-6.072663718
3,0.6151855448,-6.109856971
3,0.6293243719,-6.151089813
3,0.643463199,-6.188439758
3,0.6576020261,-6.227824784
3,0.6717509877,-6.26511167
3,0.6858898148,-6.289970232
3,0.7000286419,-6.321465259
3,0.7141776034,-3.999619462
3,0.7283164305,-4.124882992
3,0.7424652386,-4.26773994
3,0.7566042192,-4.410346564
3,0.7707428927,-4.555488917
3,0.7848918543,-4.708584328
3,0.7990306814,-4.869881211
3,0.8131695085,-5.033182601
3,0.8273084892,-5.188406727
3,0.8414574507,-5.350987717
3,0.8555959707,-5.511783951
3,0.8697349514,-5.682411632
3,0.8838839129,-5.86910021
3,0.89802274,-6.031054434
3,0.912171548,-6.202339456
3,0.9263103751,-6.355841884
3,0.9404492022,-6.519800614
3,0.9545981638,-6.672582642
3,0.9687371445,-6.833785893
3,0.982875818,-6.974451068
3,0.9970247796,-7.10009104
3,1.011163607,-7.20891532
3,1.025302434,-7.302181264
3,1.039451395,-7.387494149
3,1.053590069,-7.462790232
3,1.06772905,-7.529882933
3,1.081878011,-7.584828207
3,1.096016838,-7.635265729
3,1.110165493,-7.675715112
3,1.124304473,-7.711968215
3,1.1384433,-7.748723878
3,1.152582281,-7.778560267
3,1.166731243,-7.80495326
3,1.180869763,-7.825177951
3,1.195008743,-7.843961844
3,1.209157705,-7.86074314
3,1.223296532,-7.87689767
3,1.237435513,-7.891706944
3,1.251584167,-7.904886243
3,1.265722994,-7.913810025
3,1.279861975,-7.922357365
3,1.294010936,-7.928149224
3,1.308149763,-7.936289548
3,1.322288437,-7.946214628
3,1.336437552,-7.951379721
3,1.350576379,-7.956795138
3,1.364715206,-7.961772965
3,1.378863861,-7.965843127
3,1.393002688,-7.970039406
3,1.407141822,-7.972638195
3,1.421290784,-7.975080292
3,1.435429611,-7.977426845
3,1.449568131,-7.980526283
3,1.463717092,-7.983218705
3,1.477855919,-7.984690078
3,1.491995054,-7.986100303
3,1.506144015,-7.987195234
3,1.520282535,-7.988729666
3,1.534421362,-7.989511213
3,1.548570324,-7.990764747
3,1.562709151,-7.992173061
3,1.576847978,-7.993080726
3,1.59099694,-7.993424683
3,1.605135767,-7.994177568
3,1.619274594,-7.995085233
3,1.633423555,-7.995742574
3,1.647562382,-7.996055957
3,1.66170121,-7.99658718
3,1.675840037,-7.997150888
3,1.689988998,-7.997557904
3,1.704127825,-7.997747081
3,1.71827648,-7.998058553
3,1.732415614,-7.998278304
3,1.746554441,-7.998498054
3,1.760703403,-7.99890507
3,1.774841923,-7.999185969
3,1.78898075,-7.999218454
3,1.8000605,-7.999405719
