# ct=2 Nx=38
# x_cm y_cm T_keV E_over_aTkeV4 aluminum
0.45 0.5499999999999999 0.02024641261076097 0.006298997805619314 0
0.45 0.6499999999999999 0.01799624645423105 0.004254425781204829 0
0.45 0.7499999999999999 0.01649774813066192 0.004741323421041795 0
0.45 0.85 0.01523566916151853 0.003421729832418816 0
0.45 0.95 0.01405471528974551 0.003156333284024974 0
0.45 1.05 0.01275336811059939 0.002650630178664594 0
0.45 1.15 0.01218576659604248 0.002423392762213461 0
0.45 1.25 0.0116487073819325 0.002175112148572248 0
0.45 1.35 0.01107481741690058 0.0009613308083090551 0
0.45 1.45 0.01078304040402124 0.001075896892930889 0
0.45 1.55 0.01051595656245402 0.001052940162688201 0
0.45 1.65 0.01032195208355116 0.0008720199035477476 0
0.45 1.75 0.01018081192399162 0.0006799241790545561 0
0.45 1.85 0.01011247969893293 0.0003876955178852264 0
0.45 1.95 0.01004520519599036 0.0001571374668277908 0
0.45 2.05 0.01001446181605969 0.0001570985617741118 0
0.45 2.15 0.01000387849705277 0.0001007455091632478 0
0.45 2.25 0.01000000035393058 6.197233322126257e-09 0
0.45 2.35 0.01000003362615289 9.491077280346452e-09 0
0.45 2.45 0.01000008327040604 1.780346669097014e-08 0
0.45 2.55 0.01000007598900567 8.263260445422725e-09 0
0.45 2.65 0.009999799368448099 5.833415605097424e-09 0
0.45 2.75 0.0100000575691125 9.557092956893232e-09 0
0.45 2.85 0.009999967634055768 1.930432469674158e-08 0
0.45 2.95 0.009999825235386912 1.361715410982548e-08 0
0.45 3.05 0.01000016913999304 1.285905816639491e-08 0
0.45 3.15 0.01000016318748877 5.691876955378275e-09 0
0.45 3.25 0.009999704423976258 1.749354218458627e-08 0
0.45 3.35 0.009999931851709793 3.793770306817687e-09 0
0.45 3.45 0.01000015284244129 9.001389640145366e-09 0
0.45 3.55 0.0100001473892425 8.140768535503019e-09 0
0.45 3.65 0.01000014813722729 3.096063590412736e-09 0
0.45 3.75 0.01000010956383392 6.545314661135629e-09 0
0.5499999999999999 0.05 0.02597334331108906 0.0104185899840094 0
0.5499999999999999 0.15 0.02542035058409134 0.009623786920798882 0
0.5499999999999999 0.25 0.02376455669123092 0.007882418715546017 0
0.5499999999999999 0.35 0.02147233098961697 0.007776285715059742 0
0.5499999999999999 0.45 0.02026131661863414 0.005886785651212575 0
0.5499999999999999 0.5499999999999999 0.05297725409802491 0.003824543486992268 1
0.5499999999999999 0.6499999999999999 0.04053423748932007 0.002162947898653796 1
0.5499999999999999 0.7499999999999999 0.0341227064830547 0.001421420137539589 1
0.5499999999999999 0.85 0.02938000255185609 0.0006611712743795044 1
0.5499999999999999 0.95 0.02395997070656091 0.0007925009427275813 1
0.5499999999999999 1.05 0.02072040163525964 0.0006802961801095893 1
0.5499999999999999 1.15 0.01687561473924584 0.0005190600148153189 1
0.5499999999999999 1.25 0.01490629779150787 0.0003371388206984023 1
0.5499999999999999 1.35 0.01296161265883927 0.0002740119431185017 1
0.5499999999999999 1.45 0.01240638912999075 0.0003521909971300151 1
0.5499999999999999 1.55 0.01016302429286538 0.0001687436091316635 0
0.5499999999999999 1.65 0.01015641175327217 0.0002662715058050499 0
0.5499999999999999 1.75 0.01009572446908583 0.0002204327398442981 0
0.5499999999999999 1.85 0.01005133072148164 0.0002641626334051342 0
0.5499999999999999 1.95 0.01004016158707497 0.0001161646757169724 0
0.5499999999999999 2.05 0.01001594933662331 8.94529702391358e-05 0
0.5499999999999999 2.15 0.01000417801448762 8.907086732770942e-05 0
0.5499999999999999 2.25 0.01000071277592753 6.522075961693702e-09 0
0.5499999999999999 2.35 0.01000066914810262 3.394955584798537e-09 0
0.5499999999999999 2.45 0.009999881344189849 8.343438593024837e-06 0
0.5499999999999999 2.55 0.0100002324416414 1.991196417592249e-08 0
0.5499999999999999 2.65 0.01000036364122948 1.250578286212563e-09 0
0.5499999999999999 2.75 0.009999812465196673 7.031393378911684e-09 0
0.5499999999999999 2.85 0.009999772938969049 9.375903672346028e-09 0
0.5499999999999999 2.95 0.009999779669308002 8.507657605788495e-09 0
0.5499999999999999 3.05 0.009999875307379686 1.153309938832783e-08 0
0.5499999999999999 3.15 0.00999997629786677 8.979595772543192e-09 0
0.5499999999999999 3.25 0.009999860220404461 1.448764933011295e-08 0
0.5499999999999999 3.35 0.01000026413860468 1.216705126987881e-08 0
0.5499999999999999 3.45 0.01000005157300933 1.459031503389835e-08 0
0.5499999999999999 3.55 0.009999798824513424 1.478240705241679e-08 0
0.5499999999999999 3.65 0.009999828030349395 1.29190811978642e-08 0
0.5499999999999999 3.75 0.009999830187855569 6.025293975548855e-09 0
0.6499999999999999 0.05 0.02195159888448045 0.006640935197867509 0
0.6499999999999999 0.15 0.02123195305939873 0.006372344671689044 0
0.6499999999999999 0.25 0.02031963015403539 0.006856982473869445 0
0.6499999999999999 0.35 0.01925974438584729 0.005643386230755758 0
0.6499999999999999 0.45 0.01797434731944462 0.004898114706050177 0
0.6499999999999999 0.5499999999999999 0.04047760328496459 0.001546218486709432 1
0.6499999999999999 0.6499999999999999 0.01817036998223948 0.0006485402287930295 1
0.6499999999999999 0.7499999999999999 0.01401476320413064 0.000474284034660142 1
0.6499999999999999 0.85 0.0126218221190883 0.0003087412428379467 1
0.6499999999999999 0.95 0.01167272740439419 0.0001253991772938781 1
0.6499999999999999 1.05 0.01094676504596455 6.981349852433723e-05 1
0.6499999999999999 1.15 0.01057472502696299 4.747033215256924e-05 1
0.6499999999999999 1.25 0.01034594359773445 1.793715079989763e-05 1
0.6499999999999999 1.35 0.01023140098560339 7.170585566354542e-05 1
0.6499999999999999 1.45 0.01012624015966468 4.339994874866856e-05 1
0.6499999999999999 1.55 0.01002339413371499 3.851760305648102e-05 0
0.6499999999999999 1.65 0.0100305898330758 4.876905276920817e-05 0
0.6499999999999999 1.75 0.0100423191180182 8.041735175493135e-05 0
0.6499999999999999 1.85 0.0100347090457019 0.0001223790317600838 0
0.6499999999999999 1.95 0.01001726677088454 6.245159040795254e-06 0
