# ct=2.5 Nx=38
# x_cm y_cm T_keV E_over_aTkeV4 aluminum
0.45 2.75 0.01000200307108713 2.534173219981937e-05 0
0.45 2.85 0.009999944364633823 6.429334524116587e-09 0
0.45 2.95 0.009999856285283788 1.841768055230239e-08 0
0.45 3.05 0.01000021173525724 8.873641054130225e-09 0
0.45 3.15 0.009999806868091671 1.008713756846401e-08 0
0.45 3.25 0.009999809063270821 1.424810855590964e-08 0
0.45 3.35 0.009999928761214822 1.640586594904813e-09 0
0.45 3.45 0.01000020208693954 1.597204149842467e-08 0
0.45 3.55 0.01000003141001628 1.488614151074467e-08 0
0.45 3.65 0.009999801048902985 2.50993667709631e-08 0
0.45 3.75 0.01000048866511406 4.466960899007169e-09 0
0.5499999999999999 0.05 0.02983606563272394 0.01084241425845097 0
0.5499999999999999 0.15 0.02900844337734232 0.009240638465208334 0
0.5499999999999999 0.25 0.02760236756195484 0.008870999473921779 0
0.5499999999999999 0.35 0.02527188000982457 0.007481840928682969 0
0.5499999999999999 0.45 0.02329684551059123 0.007010559392693527 0
0.5499999999999999 0.5499999999999999 0.06392991103771087 0.003632684067178009 1
0.5499999999999999 0.6499999999999999 0.05035554182147734 0.002438427762080129 1
0.5499999999999999 0.7499999999999999 0.04346477966020053 0.00163846137683292 1
0.5499999999999999 0.85 0.03811231839405325 0.001323825972066712 1
0.5499999999999999 0.95 0.03232121021495572 0.001196856835459866 1
0.5499999999999999 1.05 0.02795999519705853 0.0007344578221877336 1
0.5499999999999999 1.15 0.02371322784539594 0.0005274672979034196 1
0.5499999999999999 1.25 0.0210055200929491 0.0006210207597500878 1
0.5499999999999999 1.35 0.01911628606585791 0.0003200834430602865 1
0.5499999999999999 1.45 0.01670121458193661 0.0003025997150050169 1
0.5499999999999999 1.55 0.01054634312006189 0.0004853564338879143 0
0.5499999999999999 1.65 0.01067005704895852 0.0007573366212636448 0
0.5499999999999999 1.75 0.01055282829880968 0.0008047682977548435 0
0.5499999999999999 1.85 0.01043731184758569 0.0004368308609790717 0
0.5499999999999999 1.95 0.01039154543056515 0.0005950389103223919 0
0.5499999999999999 2.05 0.0102618971691196 0.0005319935884779569 0
0.5499999999999999 2.15 0.0101685098598598 0.0004567807947537481 0
0.5499999999999999 2.25 0.01009418392631692 0.0002637401421716677 0
0.5499999999999999 2.35 0.01006176919082386 0.0002624501769527811 0
0.5499999999999999 2.45 0.0100279242511304 0.0001575478878996511 0
0.5499999999999999 2.55 0.01000350310819144 4.242814666011496e-05 0
0.5499999999999999 2.65 0.01000017099042751 1.044675978213162e-08 0
0.5499999999999999 2.75 0.009999628386716215 1.420252212925142e-08 0
0.5499999999999999 2.85 0.009999818195396987 1.069806071490755e-08 0
0.5499999999999999 2.95 0.009999778693825196 4.811427123816371e-09 0
0.5499999999999999 3.05 0.01000005490915669 6.509977100055582e-09 0
0.5499999999999999 3.15 0.01000008430541456 8.989801319324523e-09 0
0.5499999999999999 3.25 0.009999981099750106 2.742198834624524e-09 0
0.5499999999999999 3.35 0.01000057578940584 4.083877668039687e-09 0
0.5499999999999999 3.45 0.009999822491665217 1.547421625183934e-08 0
0.5499999999999999 3.55 0.009999787879050221 1.618071765354636e-08 0
0.5499999999999999 3.65 0.01000007049850339 9.557829283100872e-10 0
0.5499999999999999 3.75 0.009999702221826685 9.500086361173416e-09 0
0.6499999999999999 0.05 0.02523905196268526 0.007740663291098798 0
0.6499999999999999 0.15 0.02465331066812139 0.006379662353015471 0
0.6499999999999999 0.25 0.02353403552856062 0.007941858378089237 0
0.6499999999999999 0.35 0.02248509634737647 0.006932987025375304 0
0.6499999999999999 0.45 0.02086883553618116 0.005247919450813415 0
0.6499999999999999 0.5499999999999999 0.05011108330958389 0.002529471589514451 1
0.6499999999999999 0.6499999999999999 0.02479655126111167 0.0007624413958417422 1
0.6499999999999999 0.7499999999999999 0.0174181588006557 0.000514750872998264 1
0.6499999999999999 0.85 0.01501115445178325 0.0002799154506101948 1
0.6499999999999999 0.95 0.01315303086606887 0.0002130412229018615 1
0.6499999999999999 1.05 0.01187017923800452 0.0001503277146363272 1
0.6499999999999999 1.15 0.01118145529408504 0.0001263725367377163 1
