# tau=10 epsilon=1 Xmax=40 Nx=128
# X u_radiation v_material T_material_over_Tbath
10.15625 0.001555705116108459 0.001011658720251572 0.1783440017785249
10.46875 0.001255045705934953 0.0007676404469702506 0.1664521704137692
10.78125 0.0008851315335114903 0.0005733763077664007 0.1547426164904489
11.09375 0.0006625100671382816 0.000434286951833868 0.1443591098004628
11.40625 0.0005556931855316284 0.0003194447362160735 0.1336900033172173
11.71875 0.0004029582111327627 0.0002462945573933573 0.1252747958643768
12.03125 0.0003088254070164086 0.0001792347644369697 0.1157059153387468
12.34375 0.0002145881573002169 0.0001273200789211128 0.106224384859145
12.65625 0.0001496580975633228 9.504829122360494e-05 0.09873839839480185
12.96875 0.0001239261165219646 7.180024252364887e-05 0.09205162886362608
13.28125 0.0001032627870463185 5.03595362279498e-05 0.08424040196601663
13.59375 6.522949890486338e-05 3.351372927428682e-05 0.07608616404155884
13.90625 4.466156223979424e-05 2.347948192226339e-05 0.06961007913476201
14.21875 3.473781969274986e-05 1.656518233846136e-05 0.06379682347238667
14.53125 2.387847663020003e-05 1.138147863510128e-05 0.0580830845501353
14.84375 1.932715815275621e-05 7.341850820472747e-06 0.05205367413017213
15.15625 1.035415104572729e-05 4.706038752137358e-06 0.04657618088809568
15.46875 8.571163659817105e-06 2.970623978567648e-06 0.04151565751614548
15.78125 5.649716784607246e-06 1.70936268430245e-06 0.03615834587761654
16.09375 3.026407603162061e-06 9.635860593064287e-07 0.03133088244113248
16.40625 2.356026626692403e-06 4.840200943305478e-07 0.02637641990247785
16.71875 1.276664543365594e-06 1.769582476827397e-07 0.02051009643104045
17.03125 3.949353787152555e-07 2.035801481797786e-08 0.0119449368074469
17.34375 3.123632086100013e-09 1.805393267380401e-10 0.003665582130095036
17.65625 4.601763853454582e-25 4.90494257734207e-25 8.368709292694815e-07
17.96875 4.782149357029733e-25 5.074839521649268e-25 8.440255203354737e-07
18.28125 5.119905062272516e-25 4.830250191053943e-25 8.336666082702892e-07
18.59375 5.250815966968831e-25 4.962992350663216e-25 8.393360977915659e-07
18.90625 5.34904364110364e-25 5.019479908171796e-25 8.417142506173698e-07
19.21875 4.75273849631533e-25 5.016288660809462e-25 8.41580434012912e-07
19.53125 4.685508114649954e-25 5.068481349867477e-25 8.437610300794686e-07
19.84375 4.535851721116671e-25 5.071253921156871e-25 8.438763953986078e-07
20.15625 5.297615316055382e-25 4.80437161722616e-25 8.325477436901999e-07
20.46875 4.8736413235741e-25 4.932636392465592e-25 8.380497014376334e-07
20.78125 5.203228858815044e-25 5.011014296959983e-25 8.413591273368274e-07
21.09375 4.779974886819656e-25 5.051643497021075e-25 8.430593969689878e-07
21.40625 4.861329129198275e-25 5.314734687858386e-25 8.538280090628949e-07
21.71875 5.401765693452463e-25 5.04924023167687e-25 8.429591099538145e-07
22.03125 5.584814971041666e-25 5.144711105757768e-25 8.469158254164078e-07
22.34375 5.06125138617468e-25 4.944854008510001e-25 8.385681601312913e-07
22.65625 5.207389835461486e-25 5.031097374135377e-25 8.422008603440002e-07
22.96875 4.89732830299362e-25 5.047516387979861e-25 8.428871527998957e-07
23.28125 5.009781916712438e-25 5.128978258871728e-25 8.462676012444924e-07
23.59375 5.360473267031245e-25 5.214276185427359e-25 8.497643508497502e-07
23.90625 4.723333598657655e-25 4.966610583340861e-25 8.394890339221453e-07
24.21875 4.74765307025094e-25 5.09787439733326e-25 8.449816597952464e-07
24.53125 5.45665904162722e-25 4.930838146853327e-25 8.379733109870006e-07
24.84375 4.779376536009142e-25 4.862578371991154e-25 8.350580240740458e-07
25.15625 4.751986376865387e-25 4.833386582895332e-25 8.338019050259353e-07
25.46875 4.706824514256146e-25 5.045528243435299e-25 8.428041402375051e-07
25.78125 5.459262250159021e-25 5.007242783292591e-25 8.412007714999567e-07
26.09375 5.017385627592768e-25 5.095054496959132e-25 8.448647846854424e-07
26.40625 4.638895788005595e-25 4.725953213012929e-25 8.291294752877896e-07
26.71875 5.120989144365506e-25 4.995965072088179e-25 8.407267160699364e-07
27.03125 4.797594112459161e-25 4.671734249099145e-25 8.267411078929193e-07
27.34375 4.902569631770885e-25 5.036998424684827e-25 8.42447709341905e-07
27.65625 5.273238367338148e-25 4.871885004564967e-25 8.354572981827589e-07
27.96875 4.217897007705516e-25 5.017310474663565e-25 8.416232880492561e-07
