# Crooked-pipe probe temperatures, Steinberg & Heizler 2022 Fig. 8
# Probes (r, z_axis=x): P1 (0, 0.25), P2 (0, 2.75), P3 (1.25, 3.5), P4 (0, 4.25), P5 (0, 6.75) cm
# t_ns, cycle, T1_keV, T2_keV, T3_keV, T4_keV, T5_keV
65.5719, 104, 0.452698, 0.265936, 0.087918, 0.0501885, 0.0464755
66.5719, 105, 0.457909, 0.259005, 0.0883711, 0.0502129, 0.0465037
67.5719, 106, 0.453844, 0.262865, 0.0888916, 0.0503953, 0.0464642
68.5719, 107, 0.453664, 0.2631, 0.0907263, 0.0504053, 0.0463809
69.5719, 108, 0.452885, 0.271858, 0.0911276, 0.0504359, 0.0463106
70.5719, 109, 0.455205, 0.276816, 0.0922702, 0.0504441, 0.0462481
71.5719, 110, 0.460921, 0.272652, 0.0929495, 0.0506655, 0.0463175
72.5719, 111, 0.452057, 0.267443, 0.0936319, 0.0507099, 0.0462301
73.5719, 112, 0.453313, 0.269933, 0.0937566, 0.0506317, 0.0462259
74.5719, 113, 0.455215, 0.270951, 0.0951385, 0.0507165, 0.0462367
75.5719, 114, 0.466608, 0.271017, 0.0948997, 0.0507381, 0.0462417
76.5719, 115, 0.460646, 0.270239, 0.0951906, 0.0508147, 0.0463329
77.5719, 116, 0.448791, 0.268536, 0.0965651, 0.0508836, 0.0463255
78.5719, 117, 0.465242, 0.274211, 0.0968386, 0.0509574, 0.0463085
79.5719, 118, 0.457169, 0.266322, 0.0971873, 0.0509363, 0.0462749
80.5719, 119, 0.457574, 0.267701, 0.0979594, 0.0509164, 0.0462707
81.5719, 120, 0.450772, 0.267814, 0.0984273, 0.0509744, 0.046272
82.5719, 121, 0.454884, 0.271585, 0.0990957, 0.051034, 0.0461767
83.5719, 122, 0.459394, 0.273446, 0.100031, 0.0512609, 0.0461782
84.5719, 123, 0.450602, 0.272081, 0.101669, 0.0514796, 0.046114
85.5719, 124, 0.450425, 0.270625, 0.102055, 0.0516031, 0.0460344
86.5719, 125, 0.45875, 0.277134, 0.103405, 0.0517125, 0.0460184
87.5719, 126, 0.448863, 0.270628, 0.102723, 0.052004, 0.0460789
88.5719, 127, 0.45206, 0.271564, 0.103084, 0.052191, 0.0460513
89.5719, 128, 0.462909, 0.273453, 0.103367, 0.0521859, 0.0461873
90.5719, 129, 0.456819, 0.274118, 0.103852, 0.0523583, 0.046123
91.5719, 130, 0.460072, 0.267915, 0.105543, 0.0524349, 0.0460875
92.5719, 131, 0.464654, 0.274832, 0.10598, 0.0525369, 0.0460766
93.5719, 132, 0.463611, 0.281276, 0.10619, 0.0525607, 0.0460879
94.5719, 133, 0.456234, 0.274943, 0.106657, 0.0527879, 0.0461579
95.5719, 134, 0.457363, 0.272979, 0.106577, 0.05281, 0.0462765
96.5719, 135, 0.452662, 0.271978, 0.106925, 0.0529584, 0.046192
97.5719, 136, 0.450378, 0.281773, 0.107249, 0.0531747, 0.0461011
98.5719, 137, 0.459595, 0.280197, 0.109059, 0.0534177, 0.0461642
99.5719, 138, 0.45436, 0.280601, 0.108879, 0.0533613, 0.0462476
100.572, 139, 0.457591, 0.281311, 0.109247, 0.0535597, 0.0462673
101.572, 140, 0.452647, 0.278299, 0.110079, 0.0537354, 0.0461302
102.572, 141, 0.454721, 0.276707, 0.110725, 0.0539127, 0.0461961
103.572, 142, 0.454519, 0.273213, 0.111405, 0.0540384, 0.0462904
104.572, 143, 0.459227, 0.290976, 0.111523, 0.0539719, 0.0462873
105.572, 144, 0.455415, 0.278432, 0.112083, 0.0540797, 0.0462794
106.572, 145, 0.459003, 0.275906, 0.112241, 0.0542261, 0.046238
107.572, 146, 0.450277, 0.27878, 0.111995, 0.0543362, 0.0462553
108.572, 147, 0.457223, 0.27681, 0.113334, 0.0544322, 0.0462394
109.572, 148, 0.452209, 0.277165, 0.114212, 0.054567, 0.0461407
110.572, 149, 0.456457, 0.274895, 0.113827, 0.0545797, 0.0461462
111.572, 150, 0.456229, 0.28121, 0.113988, 0.0548326, 0.046024
112.572, 151, 0.454293, 0.279292, 0.113861, 0.0549498, 0.0460541
113.572, 152, 0.44999, 0.274395, 0.115282, 0.0549905, 0.0460758
114.572, 153, 0.461182, 0.282894, 0.115489, 0.0552936, 0.0460884
115.572, 154, 0.464024, 0.28611, 0.11636, 0.0552935, 0.0460438
116.572, 155, 0.458899, 0.282414, 0.116624, 0.0555878, 0.0460103
117.572, 156, 0.458464, 0.279996, 0.117101, 0.0557719, 0.0460387
118.572, 157, 0.462461, 0.281826, 0.117558, 0.0560985, 0.0460236
119.572, 158, 0.452086, 0.281955, 0.118056, 0.05625, 0.046122
120.572, 159, 0.455597, 0.277809, 0.118337, 0.0564586, 0.046148
121.572, 160, 0.458347, 0.28069, 0.118854, 0.0566657, 0.0461361
122.572, 161, 0.452224, 0.28076, 0.119336, 0.0570085, 0.0461062
123.572, 162, 0.456844, 0.280476, 0.120243, 0.057056, 0.046068
124.572, 163, 0.453456, 0.282704, 0.120655, 0.057162, 0.0460673
125.572, 164, 0.454668, 0.287709, 0.121632, 0.0575192, 0.046033
126.572, 165, 0.449646, 0.28375, 0.120422, 0.0577199, 0.0459981
127.572, 166, 0.466091, 0.286613, 0.120782, 0.0577197, 0.0460352
128.572, 167, 0.460885, 0.286603, 0.121232, 0.0576625, 0.0459687
129.572, 168, 0.45539, 0.282229, 0.12117, 0.0576609, 0.0458569
130.572, 169, 0.452372, 0.282209, 0.120524, 0.0579655, 0.0459012
131.572, 170, 0.457323, 0.280201, 0.121086, 0.0580866, 0.0458362
132.572, 171, 0.452397, 0.278546, 0.122659, 0.0583068, 0.0458744
133.572, 172, 0.45923, 0.283359, 0.124924, 0.058544, 0.0460287
134.572, 173, 0.458857, 0.280686, 0.125131, 0.0585784, 0.0460439
135.572, 174, 0.462263, 0.286295, 0.125549, 0.0587293, 0.0459378
136.572, 175, 0.454366, 0.282819, 0.12605, 0.059005, 0.0459382
137.572, 176, 0.456022, 0.287619, 0.127041, 0.0595877, 0.0460158
138.572, 177, 0.454522, 0.288599, 0.127608, 0.0598917, 0.0460064
139.572, 178, 0.453842, 0.283133, 0.126719, 0.0605625, 0.0460239
140.572, 179, 0.45979, 0.286836, 0.125816, 0.0610016, 0.0459526
141.572, 180, 0.457062, 0.283556, 0.125835, 0.0610593, 0.0460883
142.572, 181, 0.455387, 0.281194, 0.126059, 0.061274, 0.0460255
143.572, 182, 0.458846, 0.28746, 0.125893, 0.0614506, 0.0460201
144.572, 183, 0.455888, 0.284994, 0.126679, 0.0614569, 0.04622
145.572, 184, 0.459932, 0.289386, 0.126105, 0.0616892, 0.0461306
146.572, 185, 0.453495, 0.286868, 0.126746, 0.0618245, 0.0460916
147.572, 186, 0.454075, 0.291127, 0.128867, 0.0621078, 0.0460007
148.572, 187, 0.453727, 0.282628, 0.129568, 0.062097, 0.0459537
149.572, 188, 0.458121, 0.282584, 0.128747, 0.0624339, 0.0459265
150.572, 189, 0.462574, 0.289051, 0.128441, 0.0627681, 0.0459565
151.572, 190, 0.464185, 0.287111, 0.129309, 0.0630288, 0.0460276
152.572, 191, 0.455091, 0.285751, 0.129593, 0.0632344, 0.0459595
153.572, 192, 0.455674, 0.286764, 0.130583, 0.0631787, 0.0459373
154.572, 193, 0.461207, 0.284935, 0.131312, 0.0636284, 0.0460899
155.572, 194, 0.461637, 0.288689, 0.130798, 0.0638135, 0.0462107
156.572, 195, 0.453916, 0.287724, 0.13196, 0.0642366, 0.0461716
157.572, 196, 0.459469, 0.288672, 0.132073, 0.0645537, 0.0461146
158.572, 197, 0.452207, 0.284988, 0.132652, 0.0647741, 0.0460166
159.572, 198, 0.456346, 0.288721, 0.131657, 0.0654056, 0.0460646
160.572, 199, 0.456934, 0.286161, 0.134338, 0.0652517, 0.0460449
161.572, 200, 0.467921, 0.28458, 0.134285, 0.0652812, 0.045951
162.572, 201, 0.458701, 0.285344, 0.133934, 0.0654607, 0.0459852
163.572, 202, 0.447757, 0.287835, 0.133846, 0.0656154, 0.0459225
164.572, 203, 0.464613, 0.284718, 0.133979, 0.0657097, 0.0458642
165.572, 204, 0.462196, 0.280494, 0.13375, 0.0662809, 0.0458175
166.572, 205, 0.462833, 0.286898, 0.133239, 0.0665119, 0.0457578
167.572, 206, 0.454707, 0.285466, 0.13388, 0.0666077, 0.0456854
168.572, 207, 0.459887, 0.290499, 0.135251, 0.0669052, 0.0456767
169.572, 208, 0.461595, 0.290763, 0.134244, 0.066987, 0.0455747
170.572, 209, 0.469025, 0.294696, 0.134216, 0.0677055, 0.0455382
171.572, 210, 0.458294, 0.288805, 0.135841, 0.0683893, 0.0455214
172.572, 211, 0.456765, 0.291342, 0.135993, 0.0687124, 0.0455069
173.572, 212, 0.46501, 0.290604, 0.136263, 0.0690833, 0.0456401
174.572, 213, 0.468017, 0.291215, 0.137024, 0.0690255, 0.0456204
175.572, 214, 0.465803, 0.286312, 0.137185, 0.0692215, 0.0456769
176.572, 215, 0.455528, 0.294104, 0.137616, 0.0696526, 0.0456279
177.572, 216, 0.46251, 0.294177, 0.138336, 0.0698491, 0.0456182
178.572, 217, 0.461611, 0.289466, 0.137779, 0.0702603, 0.0456713
179.572, 218, 0.46303, 0.285084, 0.138194, 0.0704598, 0.0456562
180.572, 219, 0.463013, 0.286194, 0.137802, 0.0706184, 0.0457044
181.572, 220, 0.46288, 0.289693, 0.137894, 0.0706398, 0.0456816
182.572, 221, 0.450054, 0.287903, 0.137419, 0.0709747, 0.0456243
183.572, 222, 0.456093, 0.290992, 0.138252, 0.0710537, 0.0455643
184.572, 223, 0.462551, 0.285125, 0.138752, 0.0715226, 0.0455137
185.572, 224, 0.463691, 0.286325, 0.139087, 0.0719765, 0.0455216
186.572, 225, 0.458379, 0.285722, 0.143341, 0.0722058, 0.0454668
187.572, 226, 0.457953, 0.289096, 0.141335, 0.0724562, 0.0455365
188.572, 227, 0.460378, 0.287147, 0.142165, 0.073013, 0.0454194
189.572, 228, 0.461585, 0.289624, 0.141577, 0.073266, 0.0454697
