# Digitized from Steinberg & Heizler 2022, ApJS 258, 14 (arXiv:2108.13453) Fig. 8(a)
# Crooked-pipe material temperature vs time (Gentile 2001).
# Probes: P1 (r=0,z=0.25), P2 (0,2.75), P3 (1.25,3.5), P4 (0,4.25), P5 (0,6.75) cm
# t_ns, T1_keV, T2_keV, T3_keV, T4_keV, T5_keV
# t_ns,T1_keV,T2_keV,T3_keV,T4_keV,T5_keV
1.80152,0.42798762,0.13114283,0.049905083,0.049847749,0.049651835
1.8542591,0.42870965,0.13524493,0.049902419,0.04984862,0.049652162
1.9085421,0.42945281,0.13959199,0.049899677,0.049849517,0.049652498
1.9644143,0.43021773,0.14418782,0.049896854,0.049850441,0.049652844
2.0219221,0.43100504,0.1489182,0.049893949,0.049851391,0.049653201
2.0811134,0.43181541,0.15374896,0.049890959,0.049852369,0.049653568
2.1420375,0.43264949,0.15835704,0.049887882,0.049853376,0.049653945
2.2047452,0.43350799,0.16247146,0.049884714,0.049854412,0.049654334
2.2692886,0.43416497,0.16608702,0.049881454,0.049855478,0.049654734
2.3357215,0.43477359,0.16980842,0.049878098,0.049856576,0.049655145
2.4040992,0.43530483,0.17363876,0.049874644,0.049857706,0.049655569
2.4744786,0.43585162,0.17758123,0.049871089,0.049858869,0.049656005
2.5469184,0.43641441,0.18127413,0.04986743,0.049860066,0.049656454
2.6214789,0.43699369,0.18478796,0.049863664,0.049861298,0.049656916
2.6982221,0.43758992,0.18751565,0.049859787,0.049862566,0.049657391
2.7772119,0.4382036,0.1903232,0.049855797,0.049863871,0.049657881
2.8585142,0.43883525,0.19321293,0.04985169,0.049865214,0.049658384
2.9421965,0.43948539,0.19618726,0.049847463,0.049866597,0.049658903
3.0283287,0.44015457,0.19924867,0.049843112,0.04986802,0.049659437
3.1169823,0.44084333,0.20239969,0.049838634,0.049869485,0.049659986
3.2082312,0.44153116,0.2049446,0.049834025,0.049870993,0.049660551
3.3021515,0.44213437,0.20726772,0.04982928,0.049872545,0.049661133
3.3988212,0.44270937,0.2092104,0.049824397,0.049874142,0.049661732
3.4983209,0.4432673,0.21120995,0.049819371,0.049875786,0.049662349
3.6007335,0.44384156,0.21326803,0.04985609,0.049877478,0.049662983
3.7061441,0.44443264,0.21538636,0.049897252,0.04987922,0.049663636
3.8146407,0.44504102,0.21756671,0.049943985,0.049881013,0.049664309
3.9263134,0.44566721,0.21981089,0.049992086,0.049882858,0.049665001
4.0412553,0.44631173,0.22212076,0.050041596,0.049884757,0.049665713
4.1595622,0.44697512,0.22428621,0.050092555,0.049886712,0.049666446
4.2813324,0.44765794,0.22592292,0.050145005,0.049888724,0.0496672
4.4066674,0.44836074,0.22740211,0.050198991,0.049890795,0.049667977
4.5356716,0.44908411,0.22882557,0.050254558,0.049892927,0.049668776
