# Digitized from Steinberg & Heizler 2022, ApJS 258, 14 (arXiv:2108.13453) Fig. 8(a)
# Crooked-pipe material temperature vs time (IMC).
# Probes: P1 (r=0,z=0.25), P2 (0,2.75), P3 (1.25,3.5), P4 (0,4.25), P5 (0,6.75) cm
# t_ns, T1_keV, T2_keV, T3_keV, T4_keV, T5_keV
# t_ns,T1_keV,T2_keV,T3_keV,T4_keV,T5_keV
0.020572317,0.063922571,0.049995565,0.049995565,0.049995565,0.049995565
0.021174567,0.064694997,0.049995565,0.049995565,0.049995565,0.049995565
0.021794448,0.065490036,0.049995565,0.049995565,0.049995565,0.049995565
0.022432475,0.066308349,0.049995565,0.049995565,0.049995565,0.049995565
0.023089181,0.067178129,0.049995565,0.049995565,0.049995356,0.049995356
0.023765111,0.068140778,0.049995565,0.049995565,0.049994631,0.049994631
0.024460829,0.069148465,0.049995565,0.049995565,0.049993756,0.049993756
0.025176915,0.070192805,0.049995565,0.049995565,0.049992801,0.049992801
0.025913963,0.071267717,0.049995565,0.049995565,0.049991819,0.049991819
0.026672588,0.072374097,0.049995565,0.049995565,0.049990807,0.049990807
0.027453422,0.073512866,0.049995565,0.049995565,0.049989766,0.049989766
0.028257115,0.074684972,0.049995565,0.049995565,0.049988695,0.049988695
0.029084336,0.075891392,0.049995565,0.049995565,0.049987592,0.049987592
0.029935773,0.077133129,0.049995565,0.049995565,0.049986457,0.049986457
0.030812136,0.078411218,0.049995565,0.049995565,0.049985289,0.049985289
0.031714154,0.079726722,0.049995565,0.049995565,0.049984086,0.049984086
0.032642579,0.081080737,0.049995565,0.049995565,0.049982849,0.049982849
0.033598183,0.082474392,0.049995565,0.049995565,0.049981575,0.049981575
0.034581762,0.083908844,0.049995565,0.049995565,0.049980263,0.049980263
0.035594135,0.085385291,0.049995565,0.049995565,0.049978914,0.049978914
0.036636145,0.086867777,0.049995565,0.049995565,0.049978034,0.049978034
0.03770866,0.088340586,0.049995565,0.049995565,0.049977854,0.049977854
0.038812573,0.089845329,0.049995565,0.049995565,0.049977823,0.049977823
0.039948802,0.091391762,0.049995565,0.049995565,0.049977823,0.049977823
0.041118294,0.092983466,0.049995565,0.049995565,0.049977823,0.049977823
0.042322023,0.094621767,0.049995565,0.049995565,0.049977823,0.049977823
0.04356099,0.096308029,0.049995565,0.049995565,0.049977823,0.049977823
0.044836228,0.098043655,0.049995565,0.049995565,0.049977823,0.049977823
0.046148799,0.099830092,0.049995565,0.049995565,0.049977823,0.049977823
0.047499794,0.10166883,0.049995565,0.049995565,0.049977823,0.049977823
0.04889034,0.10356139,0.049995565,0.049995565,0.049977823,0.049977823
0.050321594,0.10554256,0.049995565,0.049995565,0.049977823,0.049977823
0.051794747,0.10765983,0.049995565,0.049995565,0.049977823,0.049977823
0.053311026,0.10992131,0.049995565,0.049995565,0.049977823,0.049977823
0.054871694,0.11228247,0.049995565,0.049995565,0.049977823,0.049977823
0.056478051,0.11471276,0.049995565,0.049995565,0.049977823,0.049977823
0.058131433,0.11721419,0.049995565,0.049995565,0.049977823,0.049977823
0.059833217,0.11978885,0.049995565,0.049995565,0.049977823,0.049977823
0.061584821,0.12243888,0.049995565,0.049995565,0.049977823,0.049977823
0.063387703,0.1251665,0.049995565,0.049995565,0.049977823,0.049977823
0.065243363,0.12797396,0.049995565,0.049995565,0.049977823,0.049977823
0.067153348,0.13085791,0.049994795,0.049994795,0.049977823,0.049977053
0.069119247,0.13382329,0.049993595,0.049993595,0.049977823,0.049975854
0.071142697,0.13686963,0.04999157,0.04999157,0.049977823,0.049973828
0.073225383,0.14000515,0.049989485,0.049989485,0.049977823,0.049971743
0.07536904,0.14323246,0.049987339,0.049987339,0.049977823,0.049969598
0.077575451,0.14655424,0.049985131,0.049985131,0.049977823,0.049967389
0.079846455,0.14997328,0.049982857,0.049982857,0.049977823,0.049965116
0.082183942,0.1534924,0.049980517,0.049980517,0.049977823,0.049962776
0.084589858,0.15702876,0.04999009,0.049978927,0.049977823,0.049961186
0.087066207,0.16061278,0.050007747,0.049977823,0.049977823,0.049960082
0.08961505,0.16418256,0.050042563,0.049977823,0.049977823,0.049960082
0.09223851,0.16785684,0.050078398,0.049977823,0.049977823,0.049960082
0.094938772,0.17163869,0.050115282,0.049977823,0.049977823,0.049960082
0.097718083,0.17553125,0.050153246,0.049977823,0.049977823,0.049960082
0.10057876,0.17953776,0.050192321,0.049977823,0.049977823,0.049960082
0.10352318,0.18366157,0.05023254,0.049977823,0.049977823,0.049960082
0.1065538,0.18766026,0.05029901,0.049977823,0.049977823,0.049958073
